"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1uYaQjTs4OGZznvt88iTwE","ANGELZ AND DEMONZ","A-Reece","30","-9","20","ZA","2023-10-26","54","True","153107","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.67","0.64","10","-7.368","0","0.318","0.325","0.0","0.106","0.637","75.282","4"
"2FDTHlrBguDzQkp7PVj16Q","Sprinter","Dave, Central Cee","29","6","-2","ZA","2023-10-26","93","True","229133","Sprinter","2023-06-01","0.916","0.583","1","-8.067","1","0.241","0.186","0.0","0.0798","0.661","141.095","4"
"0DpNn64QE2d5nDy97VoimC","THE RUN","A-Reece","28","-10","22","ZA","2023-10-26","54","True","215392","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.591","0.728","10","-8.907","0","0.388","0.188","0.0","0.0985","0.694","78.264","4"
"3rUGC1vUpkDG9CZFHMur1t","greedy","Tate McRae","27","5","7","ZA","2023-10-26","99","True","131872","greedy","2023-09-15","0.75","0.733","6","-3.18","0","0.0319","0.256","0.0","0.114","0.844","111.018","1"
"4I2OqJ0qap2HFxq3JlTION","VING RHAMES","A-Reece","26","-7","2","ZA","2023-10-26","55","True","81077","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.757","0.604","1","-7.641","1","0.294","0.471","0.0","0.128","0.113","84.367","4"
"4XQNZPkMyo1LxR3NYbVegt","Ngimtholile","Maverick Muji, Nonny","25","5","-6","ZA","2023-10-26","53","False","244062","Ngimtholile","2023-10-13","0.549","0.171","11","-14.778","1","0.0566","0.583","0.000953","0.127","0.483","119.589","5"
"7uloC7Sgo5KNFKrgRepyhJ","ONE TIME","A-Reece, Blxckie","24","-11","26","ZA","2023-10-26","55","True","184021","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.773","0.579","5","-7.849","0","0.273","0.45","0.0","0.211","0.798","119.948","4"
"0XSYoJ0MJpMB2tddyRcBEC","Sgudi Snyc","De Mthuda, Da Muziqal Chef, Eemoh","23","6","6","ZA","2023-10-26","66","False","331377","Sgudi Snyc","2023-05-19","0.813","0.399","0","-18.875","1","0.0826","0.0113","0.0571","0.11","0.681","112.996","4"
"56y1jOTK0XSvJzVv9vHQBK","Paint The Town Red","Doja Cat","22","6","-2","ZA","2023-10-26","88","True","230480","Scarlet","2023-09-20","0.864","0.556","2","-7.683","0","0.194","0.255","3.85e-06","0.112","0.726","99.974","4"
"5mjYQaktjmjcMKcUIcqz4s","Strangers","Kenya Grace","21","3","2","ZA","2023-10-26","98","False","172964","Strangers","2023-09-01","0.628","0.523","11","-8.307","0","0.0946","0.701","0.00274","0.219","0.416","169.982","4"
"2sj4rMabpUWzy6xATdkM0u","WEST AFRICA TIME","A-Reece, M.anifest","20","-9","30","ZA","2023-10-26","55","True","243134","P2 : THE BIG HEARTED BAD GUY","2023-10-20","0.596","0.717","11","-7.679","0","0.369","0.239","0.0","0.273","0.422","149.61","4"
